Kode_Bahan,Nama_Bahan,Kelompok_Pangan,Jenis_Pangan,Air(g),Energi(Kal),Protein(g),Lemak(g),KH(g),Serat(g),Kalsium(g),Fosfor(g),Besi(g),Natrium(g),Kalium(g),Tembaga(g),Thiamin(g),Riboflavin(g),VITC(g)
BP030,Gurandil,B,P,47.5,218,0.5,2.5,48.5,3.1,0.05,0.025,0.0028,0,0,0,0.0002,0,0
BP031,Kabuto,B,P,58.9,250,2.6,2.5,35.4,1.8,0.035,0.049,0.0011,0.002,0.218,0,0.0001,0.0001,0
BP032,Kapurung,B,P,79.6,41,2,0.3,7.8,2,0.034,0.012,0.0003,0.185,0.566,0.0001,0.0001,0.0003,0.015
BP033,Kecimpring singkong,B,P,3.7,464,1.2,18.6,73,1.3,0.082,0.052,0.0034,0,0,0,0.0003,0,0
BP034,Keremes,B,P,6.7,475,1.6,25.2,64.4,2.1,0.153,0.088,0.001,0,0,0,0,0,0
BP035,Keripik gadung,B,P,4,446,2.8,14.5,76,1.7,0.147,0.052,0.0019,0,0,0,0.001,0,0
BP036,Keripik kentang,B,P,7.8,448,2.7,18.8,67.1,3.8,0.025,0.13,0.0012,0.712,0.406,0.0011,0.0001,0.0001,0
BP037,Keripik singkong,B,P,4.2,478,0.9,20.7,72,2,0.189,0.101,0.0019,0,0,0,0.0002,0,0
BP038,Keripik singkong berbumbu,B,P,2.2,481,2.2,19.7,73.6,1.6,0.156,0.103,0.0016,0,0,0,0.0003,0,0
BP039,Keripik ubi,B,P,6,486,0.2,23.9,67.6,14.3,0.068,0.092,0.0009,0.052,0.002,0.0007,0.0001,0.0001,0
BP040,Kerupuk cumi goreng,B,P,3.4,444,6.9,14.6,71.3,5,0.047,0.375,0.0018,0.837,0.191,0.0001,0.0004,0.0001,0
BP041,Kerupuk kemplang (ikan) mentah,B,P,14.2,325,1.8,0.4,78.5,4.5,0.059,0.268,0.0023,1.123,0.273,0.0002,0.0006,0.0001,0
BP042,Kerupuk kemplang goreng,B,P,5.8,504,5.6,28.1,57.1,0.3,0.05,0.094,0.0029,0,0,0,0.0003,0,0
BP043,Kerupuk kemplang panggang,B,P,9.4,356,9.7,1.1,76.9,1,0.062,0.129,0.0029,0,0,0,0.0004,0,0
BP044,Kerupuk mie kuning goreng,B,P,7.2,476,0.1,21.1,71.3,4.2,0.057,0.036,0.0046,0,0.109,0.0001,0.0002,0,0
BP045,Kerupuk udang goreng,B,P,4.4,477,4.7,20.5,68.5,5,0.024,0.188,0.0009,0.449,0.109,0.0001,0.0002,0,0
BP046,Kue bangket,B,P,16.1,338,1.5,1.2,80.3,0,0.034,0.035,0.0003,0.067,0,0.0002,0.0003,0,0
BP047,Kue putu singkong,B,P,44.2,217,1.2,0.5,53.2,2.4,0.048,0.068,0.0015,0.003,0.305,0,0.0001,0.0001,0
BP048,Lanting getuk,B,P,4.2,422,0.9,10.8,80.4,1.4,0.206,0.104,0.0036,0,0,0,0.0004,0,0
BP049,Mi golosor,B,P,82.9,71,0.2,0.8,15.9,0.1,0.117,0.005,0.0002,0,0,0,0.0001,0,0
BP050,Mie Bendo,B,P,11.5,353,0.3,0,88,2.4,0.028,0.014,0.0028,0.009,0.0492,0.0005,0,0,0
BP051,Mie Sagu,B,P,52.8,190,0.2,0.4,46.5,1.4,0.008,0.007,0.0003,0.01,0.0026,0.0001,0,0.0004,0
BP052,Ongol-ongol sagu,B,P,75.3,111,0.3,2.7,21.2,0.3,0.079,0.015,0.0017,0,0,0,0.0001,0,0
BP053,Oyek,B,P,12.6,351,0.9,0.9,84.9,4.3,0.06,0.036,0.0021,0.005,0.229,0.0001,0,0,0
BP054,Papeda,B,P,84.8,61,0.2,0.1,14.9,0.5,0.003,0.001,0.0002,0.004,0.02,0.0001,0.0001,0,0
BP055,Rasbi (Beras Ubi),B,P,11.1,394,2.2,8.8,76.6,6.8,0.068,0.076,0.0016,0.165,0.388,0.0004,0,0.0003,0
BP056,Rasi (Beras Singkong),B,P,12.6,350,0.9,0.4,85.7,14.4,0.042,0.021,0.0015,0.008,0.014,0.0003,0,0,0
BP057,Sagu forno,B,P,31.5,291,0.5,4,63.4,0,0.01,0.02,0.0008,0.04,0.05,0.0001,0,0,0
BP058,Sagu Lemak (Kue Sagon),B,P,4.3,452,2.8,14.8,76.8,1.1,0.015,0.039,0.0011,0.182,0.0527,0,0.0003,0,0
BP059,Sagu manis,B,P,32.6,287,0.5,3.9,62.4,0,0.008,0.017,0.0007,0.034,0.042,0.0001,0,0,0
BP060,Sagu Rendang,B,P,8.2,364,0.1,0.2,90.5,1.9,0.013,0.009,0.0039,0.042,0.0151,0.0001,0,0.0006,0
BP061,Sagu sinole,B,P,22,354,0.8,8.3,68.9,0,0.01,0.03,0.0008,0.03,0.011,0.0002,0,0,0
BP062,Serimping talas kebumen,B,P,4.8,478,2.5,21.2,69.2,1.7,0.112,0.118,0.0023,0,0,0,0.0003,0,0
BP063,Tapai singkong,B,P,57.4,169,1.4,0.3,40.2,2,0.021,0.034,0.0008,0,0,0,0,0,0.009
BP064,Tepung Arrowroot,B,P,13.6,355,0.7,0.2,85.2,0.4,0.008,0.022,0.0015,0.002,0.0107,0,0.0001,0,0
BP065,Tepung Ganyong,B,P,13.6,353,0.8,1.7,83.6,0.7,0.004,0.031,0.0033,0.003,0.0635,0.0001,0,0,0.001
BP066,Tepung Gaplek,B,P,13,345,2.4,0.4,83.1,6.7,0.018,0.095,0.0015,0.006,0.055,0.0004,0.0003,0.0002,0
BP067,"Tepung kentang, kering",B,P,13,347,0.3,0.1,85.6,0.4,0.02,0.03,0.0005,0.051,0.1563,0.0002,0,0,0
BP068,Tepung Mocaf,B,P,11.9,350,1.2,0.6,85,6,0.06,0.064,0.0158,0.008,0.403,0.0001,0,0,0.002
BP069,Tepung Sente,B,P,15.3,326,4,0.4,76.7,8.5,0.041,0.141,0.0035,0.014,1.602,0,0,0.0002,0
BP070,Tepung singkong/ Tapioka,B,P,9.1,363,1.1,0.5,88.2,0.9,0.084,0.125,0.001,0.001,0.0071,0,0,0,0
BP071,Tepung Tales Beneng,B,P,12.2,332,5.7,0.6,76.1,12.2,0.059,0.302,0.0107,0.007,1.404,0,0,0.0001,0
BP072,Tepung Ubi Ungu,B,P,9.4,354,2.8,0.6,84.4,12.9,0.089,0.125,0.0039,0.042,0.94,0.0008,0.0004,0,0
BP073,Tiwul,B,P,11.2,353,2.4,1.1,83.4,6.5,0.055,0.095,0.0047,0.005,0.67,0.0002,0,0,0.003
BP074,Tiwul Instan,B,P,9.1,395,3.2,8.5,76.5,4.2,0.081,0.081,0.0058,0.377,0.469,0.0021,0.0004,0.0002,0.004
BP075,Ubi Cilembu,B,P,52.7,186,1.9,0.2,44.3,3.4,0.037,0.051,0.0006,0.001,0.0619,0.0001,0,0.0002,0
BP076,Uli batatas,B,P,66.5,150,1.1,4,27.4,0,0,0.023,0.0001,0.006,0.112,0.0001,0.0005,0,0
CR001,"Kacang arab, kering",C,R,11.6,330,23.8,1.4,60.2,17.4,0.057,0.388,0.0047,0.024,0.8743,0.0009,0.0008,0.0002,0.002
CR002,"Kacang babi, kering",C,R,11.6,341,30.4,3.2,51.3,4.5,0.178,0.521,0.0068,0.013,1.768,0.0008,0.0002,0.0003,0
CR003,"Kacang belimbing kecipir, kering",C,R,10.4,400,34.4,16.9,34.1,10.7,0.468,0.182,0.0068,0.037,0.955,0.0028,0.0003,0.0004,0
CR004,"Kacang beracun, segar",C,R,72.1,118,4.4,1.5,21.6,0,0.05,0.05,0.0017,0.01,0.04,0.0003,0.0004,0,0
CR005,"Kacang bogor, kering",C,R,10,370,16,6,65,26.3,0.085,0.264,0.0042,0.044,0.8688,0.0015,0.0002,0.0003,0
CR006,"Kacang bogor, segar",C,R,60.8,165,7.7,3.1,27.4,2.5,0.096,0.126,0.0053,0.006,0.537,0.0004,0.0003,0.0004,0
CR007,"Kacang endel, biji, kering",C,R,14,331,25,1,58,23.6,0.08,0.4,0.005,0.012,1.3224,0.0007,0.0003,0.0008,0
CR008,"Kacang ercis, segar",C,R,67.6,129,12.4,0.7,18.3,28.6,0.04,0.13,0.0023,0.004,0.31,0.0003,0.0003,0.0001,0
CR009,"kacang galing, segar",C,R,12,336,23.1,1.7,59.5,0,0.08,0.4,0.005,0,0,0,0.0006,0,0
CR010,"Kacang gude, biji, kering",C,R,16.1,316,20.7,1,58,4.6,0.146,0.445,0.0047,0.016,1.3062,0.001,0.0003,0.0002,0
CR011," Kacang gude, biji, segar",C,R,70.3,114,7,0.6,20.8,4.4,0.003,0.122,0.0015,0.004,0.4805,0.0001,0.0004,0.0001,0.043
CR012,"Kacang hijau var, bakti, kering",C,R,7.4,350,17.1,1.8,70.7,5.7,0.094,0.315,0.0049,0.046,0.8939,0.0015,0.0004,0.0003,0.011
CR013,"Kacang hijau var, siwalik, kering",C,R,8.8,339,20.8,2.1,64.6,7.4,0.122,0.136,0.0049,0.045,0.8804,0.0015,0.0005,0.0003,0
CR014,"Kacang hijau, kering",C,R,15.5,323,22.9,1.5,56.8,7.5,0.223,0.319,0.0075,0.042,0.8157,0.0019,0.0005,0.0002,0.01
CR015,"Kacang hitam, kering",C,R,12.5,346,16.6,1.7,66.1,22.8,0.07,0.3,0.0047,0.003,0,0.0009,0.0002,0.0001,0
CR016,"Kacang kapri, segar",C,R,74.3,98,6.7,0.4,17.7,6.2,0.022,0.122,0.0019,0.006,0.2966,0.0002,0.0003,0.0002,0.026
CR017,"Kacang kedelai, kering",C,R,12.7,381,40.4,16.7,24.9,3.2,0.222,0.682,0.01,0.21,0.7134,0.0016,0.0005,0.0001,0
CR018,"Kacang kedelai, segar",C,R,20,286,30.2,15.6,30.1,2.9,0.196,0.506,0.0069,0.028,0.8709,0.0012,0.0009,0.0003,0
CR019,"Kacang kincai, kering",C,R,4.2,444,19.9,16,55,0,0.026,0,0,0,0,0,0.0001,0.0001,0
CR020,"Kacang komak, segar",C,R,20.9,327,16.4,4.3,55.8,0.5,0.074,0.282,0.004,0.022,1.137,0.0009,0.001,0.0001,0
CR021,"Kacang kuning, kering",C,R,11.7,355,17,2.5,66,15.1,0.14,0.22,0.0058,0.001,0,0.0007,0.0005,0.0001,0
CR022,"Kacang lebui /iris, kering",C,R,11.8,346,16.5,1.5,66.6,37.3,0.144,0.368,0.0034,0.017,1.225,0.0015,0.0006,0.0002,0
CR023,"Kacang mentega, kering",C,R,13.7,344,16.7,2.1,64.6,13,0.11,0.3,0.0067,0.001,0.01,0.0007,0.0002,0.0001,0
CR024,"Kacang merah /banda, kering",C,R,13,350,13.9,3,66.9,26.3,0.084,0.242,0.0068,0.019,1.127,0,0.0002,0.0008,0
CR025,"Kacang merah tua, kering",C,R,12.3,280,16.7,1.6,63.2,4.6,0.209,0.335,0.0064,0.019,1.3485,0.0007,0.0001,0.0001,0.006
CR026,"Kacang merah, kering",C,R,17.7,314,22.1,1.1,56.2,4,0.502,0.429,0.0103,0.011,1.2655,0.0007,0.0004,0.0007,0
CR027,"Kacang merah, segar",C,R,57.2,171,11,2.2,28,2.1,0.293,0.134,0.0037,0.007,0.3607,0.0003,0.0002,0.0002,0
CR028,"Kacang mete/biji jambu monyet, segar",C,R,4.6,616,16.3,48.4,28.7,0.9,0.026,0.521,0.0038,0.026,0.692,0.0047,0.0006,0,0
CR029,"Kacang panjang, biji, kering",C,R,12.2,357,17.3,1.5,68.6,10.6,0.163,0.437,0.0069,0.016,1.1094,0.0004,0.0006,0.001,0.002
CR030,Kacang tanah sangan,C,R,1.2,560,29.5,43,24.1,2.9,0.107,0.366,0.0041,0.034,0.5098,0.0017,0.0003,0.0003,0
CR031,Kacang tanah sangan tangan selaput,C,R,2.6,559,26.9,44.2,23.6,2.6,0.074,0.393,0.0019,0.033,0.2023,0.5204,0,0.0003,0
CR032,"Kacang tanah, kering",C,R,9.6,525,27.9,42.7,17.4,2.4,0.316,0.456,0.0057,0.031,0.4665,0.0016,0.0004,0.0003,0
CR033,"Kacang tolo / tunggak, kering",C,R,13.5,331,24.4,1.9,56.6,1.6,0.481,0.399,0.0139,0.015,0.0078,0.001,0.0001,0.0002,0
CR034,"Kacang tunis, kering",C,R,10.5,351,12.2,1.2,72.9,29.5,0.12,0.22,0.0069,0.001,0,0.0014,0.0006,0.0001,0
CR035,"Kacang uci, kering",C,R,9.9,358,23.4,2.4,60.6,7.4,0.269,0.264,0.0005,0.013,1.4577,0.0004,0.0001,0.0002,0.002
CR036,"Kacang urei, kering",C,R,12.8,354,12.8,1.8,69.3,26.1,0.22,0.22,0.0051,0.001,0,0.0007,0.0006,0.0001,0
CR037,"Kenari banda, kering",C,R,13,616,13.9,56.2,13.7,0,0,0.38,0.0014,0.011,0.46,0.0011,0.0008,0.0001,0
CR038,"Kenari, kering",C,R,3,657,15,66,13,0,0.092,0.691,0.0077,0.003,0.5058,0.001,0.0004,0.0001,0
CR039,"Komak polong, segar",C,R,74.3,99,3.3,0.1,21.2,10.3,0.05,0.099,0.0131,0.015,0.567,0.0002,0.0001,0,0
CR040,"Koro andong, kering",C,R,10.8,356,20.5,4.1,61.6,7,0.15,0.272,0.0062,0.018,0.3018,0.0007,0.0003,0,0.001
CR041,"Koro benguk, biji, kering",C,R,15,332,24,3,55,5.6,0.03,0.2,0.002,0.042,0.3892,0.0013,0.0003,0.0001,0
CR042,"Koro kerupuk, biji, segar",C,R,67.2,125,8.3,0.7,22.1,2.2,0.017,0.012,0.0027,0.016,0.1503,0.0005,0.0001,0,0.031
CR043,"Koro loke, biji, segar",C,R,88.6,33,2.7,0.2,7.9,3.5,0.06,0.04,0.002,0.002,0.0386,0.0001,0.0001,0,0
CR044,"Koro roay, kering",C,R,13,344,12.5,2.1,69.4,7.5,0.07,0.103,0.0044,0.018,0.2943,0.0007,0.0001,0.0002,0.001
CR045,"Koro wedus, biji, kering",C,R,11.8,338,22.2,1.5,61,5.8,0.088,0.395,0.0035,0.043,0.4038,0.0013,0.0006,0.0001,0
CR046,"Lamtoro biji, muda, segar",C,R,77.4,85,5.7,0.3,15.4,10.8,0.18,0.053,0.0027,0.035,0.4857,0,0.0001,0.0012,0.015
CR047,"Lamtoro biji, tua, segar",C,R,61.4,148,10.6,0.5,26.2,17,0.155,0.059,0.0022,0.028,0.6285,0,0.0002,0.0005,0.02
CR048,"Lamtoro var, gung tanpa kulit",C,R,10.2,367,46.4,5.4,32.5,2.6,0.136,0.441,0.0233,0.065,1.4623,0.0001,0.0001,0.0012,0.009
CR049,"Lamtoro var, lokal dengan kulit",C,R,13.5,336,23.8,1.2,59.7,15.4,0.867,0.321,0.0015,0.134,1.8589,0.0001,0.0002,0.0013,0.016
CR050,"Nangka, biji, segar",C,R,57.7,165,4.2,0.1,36.7,1.8,0.033,0.2,0.001,0.069,0.179,0.0001,0.0002,0,0.01
CR051,"Saga merah terkupas, mentah",C,R,8.1,449,30.6,25.5,31.9,3.5,1.062,0.161,0.0142,0.066,1.4965,0.0001,0.0001,0.0015,0.007
CR052,"Wijen, mentah",C,R,5.8,568,19.3,51.1,18.1,3.6,1.125,0.614,0.0095,0.018,0.3037,0.0042,0.0009,0.0002,0
CP001,"Kacang belimbing, rebus",C,P,55.6,204,16.9,8.8,17.5,4.8,0.23,0.18,0.0033,0.043,1.098,0.0032,0.0002,0.0005,0
CP002,"Kacang bogor, goreng",C,P,3,479,12.7,23.2,58.9,1.2,0.135,0.184,0.0029,0,0,0,0.0003,0.0005,0
CP003,"Kacang bogor, rebus",C,P,61.2,161,7.7,2.8,27.1,2,0.056,0.134,0.0014,0,0,0,0.0001,0,0
CP004,"Kacang gude, rebus",C,P,61.5,147,9,0.5,27.5,3.4,0.05,0.175,0.002,0.014,1.126,0.0008,0.0001,0.0001,0
CP005,"kacang hijau, rebus",C,P,71.3,109,8.7,0.5,18.3,1.5,0.095,0.149,0.0015,0.447,0.6578,0.0014,0.0001,0,0.003
CP006,"Kacang kedelai, goreng",C,P,9.6,521,32.2,37.7,22.9,7.6,0.296,0.8,0.0065,3.492,11.89,0,0.02,0.0004,0.019
CP007,"Kacang kedelai, rebus",C,P,56.8,189,20.2,8.2,12.7,1.6,0.091,0.27,0.0039,0.181,0.615,0.0013,0.0002,0,0
CP008,"Kacang merah kering, rebus",C,P,59.6,158,10.3,0.9,28.2,2.6,0.16,0.149,0.0037,0.006,0.311,0.0003,0.0002,0.0001,0
CP009,"Kacang merah segar, rebus",C,P,63.1,144,10,1,24.7,3.5,0.144,0.15,0.0028,0.006,0.311,0.0003,0.0001,0.0001,0
CP010,"Kacang mete/biji jambu monyet, segar",C,P,1,629,20.4,56.3,19.8,1.1,0.502,0.493,0.008,0.013,0.6417,0.0047,0.0004,0.0002,0
CP011,Kacang tanah rebus dg kulit,C,P,40.2,360,13.5,31.2,12.8,0,0.042,0.177,0.0014,0.032,0.483,0.0016,0.0004,0.0001,0.005
CP012,"Kacang tanah, goreng",C,P,2.5,564,25.5,44.4,25.5,2.8,0.106,0.39,0.0041,0,0,0,0.0004,0,0
CP013,"Kacang tanah, rebus",C,P,62.1,220,10.6,18,8,1,0.089,0.273,0.0019,0.036,0.5362,0.0018,0.0001,0,0
CP014,"Kacang tolo, rebus",C,P,64.4,138,10.7,1.1,22.6,0.9,0.165,0.172,0.004,0.013,0.0067,0.0008,0,0.0002,0
CP015,Ampas kacang hijau,C,P,70.6,96,3.7,0.6,19.1,2.7,0.133,0.15,0.0013,0,0,0,0.0001,0,0
CP016,"Ampas tahu, mentah",C,P,84.1,67,5,2.1,8.1,4.1,0.46,0.088,0.001,0.008,0.1845,0.0002,0.0001,0,0
CP017,Ampas tahu kukus,C,P,82.5,75,4.1,2.1,10.7,5.1,0.203,0.06,0.0013,0,0,0,0.0001,0,0
CP018,"Ampas tahu, kering",C,P,9,414,26.6,18.3,41.3,0,0.019,0.029,0.004,0.045,1.0557,0.001,0.0002,0.0001,0
CP019,Pepea oncom ampas tahu,C,P,80.9,76,5.2,1.8,10.6,2.2,0.215,0.066,0.0125,0,0,0,0.0001,0,0
CP020,Bungkil biji karet,C,P,12,333,29.3,3.3,50,0,0.102,0.66,0.012,0,0,0,0.0001,0,0
CP021,Bungkil kacang tanah,C,P,14,336,37.4,13,30.5,0,0.73,0.47,0.0307,0,0,0,0,0,0
CP022,Bungkil kelapa,C,P,16,368,23,15,40,0,0.137,0.433,0.0415,0,0,0,0,0.0005,0
CP023,Dodol banjarmasin,C,P,17.3,368,2.6,8.6,70,0.5,0.051,0.18,0.0033,0.048,0.096,0.0004,0,0.0001,0
CP024,Emping (kerupuk melinjo),C,P,13,345,12,1.5,71.5,0,0,0.1,0.4,0.005,0,0,0,0.0002,0
CP025,Emping komak,C,P,14.2,355,17.8,4.6,60.7,0,0.087,0.304,0.0043,0.024,1.233,0.001,0,0,0
CP026,Enting-enting gepuk hello kity,C,P,2.4,538,13.6,30.3,52.6,0.2,0.081,0.248,0.0016,0,0,0,0.001,0,0
CP027,Enting-enting gepuk kacang tanah,C,P,4.2,524,13.3,29.2,52,0.2,0.076,0.248,0.0014,0,0,0,0.0006,0,0
CP028,Enting-enting wijen,C,P,3.7,565,18.2,38.4,36.8,1.9,0.251,0.502,0.0109,0,0,0,0.0009,0,0
CP029,Geplak,C,P,29.6,350,1.4,14.4,53.6,1.8,0.151,0.043,0.0021,0,0,0,0.0001,0,0
CP030,Geplak jahe,C,P,12.4,462,3.1,24.4,57.7,3.3,0.212,0.161,0.0066,0,0,0,0.0001,0,0
CP031,Kacang atom,C,P,3.1,533,27.8,38.1,28.8,2.5,0.087,0.423,0.003,0,0,0,0.0001,0,0
CP032,Kacang goyang,C,P,8.3,516,14.7,31.1,44.4,0,0.034,0.23,0.0007,0.002,0.365,0.0006,0,0,0
CP033,Kacang negara,C,P,3.1,480,18.4,19.1,58.5,11.7,0.034,0.404,0.0103,1.01,0.385,0.0025,0.0006,0.0001,0
CP034,Kacang sukro,C,P,4.7,484,8.8,26.1,57.7,1.8,0.049,0.194,0.0025,0,0,0,0.0001,0,0
CP035,Kacang tanah sari,C,P,2.1,561,25.5,43.8,26,2.2,0.05,0.324,0.0031,0,0,0,0.0001,0,0
CP036,Keju kacang tanah (peanut butter),C,P,3,590,27,49,20.9,1.6,0.06,0.36,0.002,0.355,0.4924,0.0006,0.0003,0.0002,0
CP037,Kembang tahu,C,P,10.8,380,48.9,13.8,23.3,0,0.378,0.781,0.0021,0.055,0.4553,0.0007,0.0002,0.0001,0
CP038,Kembang tahu rebus,C,P,79.8,90,10.7,4,4.7,0,0.085,0,0,0,0,0,0,0,0
CP039,Keripik oncom,C,P,3,598,8.3,43.8,42.6,3.3,0.085,0.153,0.027,0,0,0,0.0011,0,0
CP040,Keripik tempe,C,P,3.3,581,12.1,40.6,41.7,2.2,0.237,0.116,0.0069,0,0,0,0.0004,0,0
CP041,Keripik tempe abadi besar,C,P,4.5,556,15.8,37.1,39.8,3.5,0.112,0.215,0.0054,0,0,0,0.0006,0,0
CP042,Keripik tempe abadi murni,C,P,3.2,542,40.3,42.4,11.6,2.2,0.175,0.529,0.0052,0,0,0,0.0001,0,0
CP043,Keripik tempe abadi sedang,C,P,4.4,510,12.3,27.9,52.4,3.6,0.122,0.211,0.0084,0,0,0,0.0005,0,0
CP044,Keripik tempe abadi telur,C,P,4.5,529,20.8,31.7,40.2,3,0.124,0.222,0.0054,0,0,0,0.0009,0,0
CP045,Kerupik tempe abadi prima,C,P,4.8,540,16.7,33.9,42,2.2,0.092,0.184,0.0032,0,0,0,0.0004,0,0
CP046,Kwaci,C,P,9.9,515,30.6,42.1,13.8,13.6,0.054,0.312,0.0062,0.124,0.4486,0.0007,0,0.0002,0
CP047,Melinjo emping tebal goreng manis,C,P,5.6,439,10,16.4,65.7,0,0.066,0.225,0,0,0,0,0.0001,0,0
CP048,"Melinjo emping tebal, goreng asin",C,P,8,431,11.1,16.2,63,0,0.077,0,0,0,0,0,0.0001,0,0
CP049,Melinjo emping tipis goreng,C,P,3.3,485,11.5,24.5,59.1,0,0.085,0.218,0,0,0,0,0.0001,0,0
CP050,Moon tahu,C,P,79.9,128,8,10,1.3,0.2,0.205,0.092,0.0025,0.393,0,0,0.0005,0,0
CP051,Oncom,C,P,57,187,13,6,22.6,0,0.096,0.115,0.027,0,0,0,0.0001,0,0
CP052,Oncom ampas kacang hijau,C,P,13.4,376,14.9,6,65.7,12.3,0.199,0.11,0.0109,0,0,0,0,0,0
CP053,Oncom kacang hijau + singkong,C,P,16.5,351,11,5.3,65.9,9,0.164,0.113,0.0078,0,0,0,0,0,0
CP054,Oncom kacang tanah pepes,C,P,65,132,12.7,3.8,13.7,3.1,0.133,0.355,0.0344,0,0,0,0.0001,0.0002,0
CP055,Rempeyek kacang tanah,C,P,3.9,513,17.5,32.5,44.3,1.7,0.065,0.202,0.0026,0,0,0,0.0001,0,0
CP056,Rempeyek kacang tolo,C,P,6.1,451,11.2,20.2,59.7,1.8,0.156,0.221,0.0046,0,0,0,0,0,0
CP057,Rempeyek kacang uci,C,P,4,497,17,27.6,50.8,2.4,0.166,0.089,0.0067,0,0,0,0.0001,0,0
CP058,Sayur lebui,C,P,83.9,64,2.1,0.6,12.5,5.7,0.021,0.002,0.001,0.124,0.146,0.0002,0,0,0
CP059,"Saridele, bubuk",C,P,3,344,30,20,43,6.2,0.45,0.5,0.004,0.056,2.5723,0.003,0.0007,0.0002,0.01
CP060,Susu kedelai,C,P,87,41,3.5,2.5,5,0.2,0.05,0.045,0.0007,0.128,0.2879,0.0001,0.0001,0.0001,0.002
CP061,"Tahu, mentah",C,P,82.2,80,10.9,4.7,0.8,0.1,0.223,0.183,0.0034,0.002,0.0506,0.0002,0,0.0001,0
CP062,Tahu goreng,C,P,77.3,115,9.7,8.5,2.5,0.1,0.229,0.2,0.0041,0.007,0.0682,0.0001,0,0.0002,0
CP063,Tahu telur,C,P,41.8,328,12.6,19.9,24.6,0.4,0.492,0.238,0.0049,0.755,0,0,0.0004,0,0
CP064,Takwa,C,P,72.2,148,13.8,8.5,4,0,0.14,0.214,0.0085,0.003,0.079,0.0003,0.0002,0.0001,0
CP065,Tauco,C,P,54,184,11.4,5.5,22.2,1.9,0.072,0.463,0.006,1.766,0.233,0.0004,0.0003,0.0002,0
CP066,"Tauco cap beruang, cake",C,P,11.4,347,7.4,5.2,67.6,3.2,0.063,0.106,0.0062,0,0,0,0.0004,0,0
CP067,"Tauco cap DAS, cake",C,P,10.2,358,7.5,4.3,70.4,3.1,0.094,0.094,0.0045,0,0,0,0.0003,0,0
CP068,Tauco cap meong,C,P,59.7,159,7.4,4.9,21.3,1.6,0.183,0.084,0.0101,1.547,0.2041,0.0003,0.0005,0.0002,0
CP069,Tauji cap singa,C,P,30.4,277,9.1,4.7,49.6,1.2,0.068,0.106,0.003,0,0,0,0.0002,0,0
CP070,Tempe bongkrek,C,P,72.5,119,4.4,3.5,18.3,0,0.027,0.1,0.0026,0,0,0,0.0001,0,0
CP071,Tempe gembus P3G,C,P,81.9,73,5.7,1.3,10.3,4.2,0.204,0.08,0.0015,0,0,0,0.0001,0.0001,0
CP072,Tempe gembus yogya,C,P,80.7,76,6.8,0.7,10.6,5.3,0.076,0.142,0.0165,0,0,0,0.0008,0,0
CP073,Tempe kacang babi,C,P,64,139,12.5,0.8,21.9,1.8,0.068,0.182,0.0026,0,0,0,0.0001,0,0
CP074,Tempe kacang belimbing,C,P,58.2,212,17.5,10,12.9,2.9,0.186,0.16,0.0022,0,0,0,0.0002,0,0
CP075,Tempe kedelai + jagung,C,P,70.6,143,12,5.5,11.4,1.9,0.155,0.156,0.0068,0,0,0,0.0003,0.0002,0
CP076,"Tempe kedelai murni, goreng",C,P,36.8,350,24.5,26.6,10.4,4.2,0.202,0.296,0.0049,0.022,0.6267,0.0008,0.0002,0.0006,0
CP077,"Tempe kedelai murni, mentah",C,P,55.3,201,20.8,8.8,13.5,1.4,0.155,0.326,0.004,0.009,0.234,0.0006,0.0002,0.0006,0
CP078,Tempe koro benguk,C,P,64,141,10.2,1.3,23.2,0,0.042,0.015,0.0026,0,0,0,0.0001,0,0
CP079,Tempe lamtoro,C,P,66.8,128,10.7,0.5,21.3,7.1,0.203,0.108,0.0006,0,0,0,0.0002,0,0.002
CP080,"Tempe lamtoro var, gung dengan kulit",C,P,65.1,146,11.7,2.3,19.6,7.6,0.128,0.041,0.0068,0,0,0,0.0002,0,0
CP081,"Tempe lamtoro var, gung dengan kulit",C,P,67.1,131,18,0.8,13,1.3,0.095,0.154,0.0124,0,0,0,0.0002,0,0
CP082,Tempe pasar,C,P,68.3,150,14,7.7,9.1,1.4,0.517,0.202,0.0015,0.007,0.1659,0.0004,0.0002,0.0004,0
CP083,Tempe pasar goreng,C,P,42.9,336,20,28,7.8,3.4,0.156,0.35,0.003,0.02,0.5662,0.0008,0.0001,0.0005,0
CP084,Tepung hunkwe (pati kacang ijo),C,P,10,364,4.5,1,83.5,16.1,0.05,0.1,0.001,0.015,1.2329,0.0009,0,0.0002,0
CP085,Tepung Jalejo,C,P,10,388,19,7.5,61.2,5.8,0.101,0.663,0.002,0.003,0.712,0.0006,0,0.0007,0.009
CP086,Tepung kacang kedelai,C,P,9,347,35.9,20.6,29.9,5.8,0.195,0.544,0.0084,0.052,2.5226,4.303,0.0008,0.0003,0
DR001,"Akar tonjong, segar",D,R,86.7,45,1.1,0.4,10.8,1.2,0.072,0.125,0.0013,0.096,1.1471,0,0,0,0.002
DR002,"Ale,toge, segar",D,R,90.6,37,4.4,0.5,3.8,1.7,0.05,0.248,0.002,0.002,0.105,0.0002,0,0.0001,0.046
DR003,"Andaliman, segar",D,R,74.2,99,4.6,1,18,8.5,0.383,0.107,0.0029,0,0,0,0.003,0,0.015
